transaction_id,date,item,category,quantity,unit_price,payment_method
716,09-Apr-2025,Avocado Toast,Food,2,7.5,Cash
72,2025-01-14,Drip Coffee,Drinks,1,2.75,Cash
1351,01/30/2025,Bagel,Food,1,2.95,Mobile
1190,2025-02-10,Latte,Drinks,1,4.5,Mobile
1408,2025-02-04,Avocado Toast,Food,1,7.5,Mobile
386,19-Apr-2025,Drip Coffee,Drinks,1,2.75,Cash
1500,04/11/2025,Bagel,Food,2,2.95,Mobile
1419,03/17/2025,Cold Brew,Drinks,1,4.75,Card
795,11-Feb-2025,Drip Coffee,Drinks,2,2.75,Mobile
60,02/27/2025,Avocado Toast,Food,2,7.5,Mobile
776,01/19/2025,Blueberry Muffin,Food,1,3.0,Cash
756,2025-01-20,Cold Brew,Drinks,2,4.75,Mobile
1057,2025-01-09,Latte,Drinks,1,4.5,Card
439,2025-02-19,Drip Coffee,Drinks,1,2.75,Cash
38,12-Mar-2025,Cappuccino,Drinks,3,4.25,Mobile
749,04/06/2025,Avocado Toast,Food,1,7.5,Card
917,02-Apr-2025,Latte,Drinks,3,4.5,Mobile
1205,2025-01-14,Drip Coffee,Drinks,3,2.75,Card
1112,02-Jan-2025,Drip Coffee,Drinks,1,2.75,Mobile
1106,16-Apr-2025,Drip Coffee,Drinks,2,2.75,Card
1275,2025-01-19,Blueberry Muffin,Food,2,3.0,Card
109,03/26/2025,Avocado Toast,Food,2,7.5,Mobile
1447,11-Feb-2025,Bagel,Food,2,2.95,Card
1435,01/02/2025,Blueberry Muffin,Food,2,3.0,Card
1365,02/23/2025,Cappuccino,Drinks,2,4.25,Card
786,2025-04-30,Blueberry Muffin,Food,1,3.0,Cash
845,2025-04-06,Avocado Toast,Food,3,7.5,Cash
1382,03/26/2025,Cold Brew,Drinks,2,4.75,Card
543,2025-04-15,Croissant,Food,2,3.25,Card
119,15-Feb-2025,Avocado Toast,Food,2,7.5,Cash
70,01/26/2025,Latte,Drinks,1,4.5,Mobile
1321,24-Feb-2025,Cappuccino,Drinks,2,4.25,Cash
880,2025-04-13,Croissant,Food,1,3.25,Cash
393,2025-02-19,Latte,Drinks,1,4.5,Cash
442,02-Apr-2025,Cappuccino,Drinks,1,4.25,Mobile
296,08-Feb-2025,Croissant,Food,2,3.25,Cash
348,11-Jan-2025,Drip Coffee,Drinks,1,2.75,Cash
1290,04/30/2025,Latte,Drinks,2,4.5,Cash
5,2025-04-04,Croissant,Food,1,3.25,Mobile
259,18-Feb-2025,Avocado Toast,Food,2,7.5,Card
1130,27-Mar-2025,Cold Brew,Drinks,2,4.75,Mobile
90,08-Feb-2025,Bagel,Food,2,2.95,Mobile
175,26-Feb-2025,  DRIP COFFEE  ,Drinks,3,2.75,Cash
1019,01/10/2025,Cappuccino,Drinks,1,4.25,Cash
1202,23-Apr-2025,Bagel,Food,1,2.95,Card
709,02/27/2025,Drip Coffee,Drinks,3,2.75,Mobile
589,01/25/2025,  BAGEL  ,Food,3,2.95,Cash
1353,03-Jan-2025,Croissant,Food,1,3.25,Card
1156,02/02/2025,Avocado Toast,Food,3,7.5,Cash
551,2025-02-05,Drip Coffee,Drinks,2,2.75,Cash
1082,07-Feb-2025,Cold Brew,Drinks,2,4.75,Card
268,04-Feb-2025,Cold Brew,Drinks,1,4.75,Mobile
446,15-Jan-2025,Cappuccino,Drinks,1,4.25,Card
1401,2025-02-05,Latte,Drinks,1,4.5,Cash
1184,03/06/2025,Croissant,Food,2,3.25,Mobile
365,2025-03-17,Avocado Toast,Food,1,7.5,Cash
968,2025-03-03,,Drinks,1,4.25,Card
701,05-Jan-2025,Blueberry Muffin,Food,1,3.0,Card
1258,2025-04-24,Latte,Drinks,1,4.5,Mobile
889,03/16/2025,Blueberry Muffin,Food,1,3.0,Card
732,2025-03-10,Croissant,Food,-2,3.25,Card
398,2025-02-06,Croissant,Food,3,3.25,Card
1440,01/11/2025,Blueberry Muffin,Food,2,3.0,Mobile
1048,2025-02-21,Blueberry Muffin,Food,2,3.0,Cash
913,22-Jan-2025,Croissant,Food,2,3.25,Card
67,2025-03-24,Latte,Drinks,1,4.5,Card
302,28-Mar-2025,Cappuccino,Drinks,2,4.25,Cash
354,05-Mar-2025,Blueberry Muffin,Food,1,3.0,Mobile
687,2025-04-15,Blueberry Muffin,Food,1,3.0,Mobile
612,09-Feb-2025,Avocado Toast,Food,1,7.5,Card
526,03-Mar-2025,Cappuccino,Drinks,-1,4.25,Mobile
595,04/17/2025,Cappuccino,Drinks,1,4.25,Card
942,02/02/2025,Blueberry Muffin,Food,2,3.0,Cash
