transaction_id,date,item,category,quantity,unit_price,payment_method
795,2025-04-10,Silk Scarf,Accessories,1,32.0,Cash
674,26-Apr-2025,Silk Scarf,Accessories,1,32.0,Mobile
151,08-Feb-2025,Greeting Card,Stationery,1,4.5,Card
211,01/24/2025,Greeting Card,Stationery,1,4.5,Cash
694,04/02/2025,Notebook,Stationery,2,9.0,Card
152,04/06/2025,Wooden Frame,Home,2,22.0,Cash
836,09-Jan-2025,Wooden Frame,Home,2,22.0,Card
166,2025-03-09,Wooden Frame,Home,-1,22.0,Card
398,01-Apr-2025,Ceramic Mug,Home,1,12.5,Card
193,2025-03-21,Earrings,Accessories,2,26.0,Card
292,2025-02-22,,Home,3,14.0,Cash
463,03/29/2025,Wooden Frame,Home,3,22.0,Mobile
205,02/04/2025,Notebook,Stationery,2,9.0,Cash
394,12-Apr-2025,,Accessories,1,32.0,Cash
417,2025-04-07,Scented Candle,Home,3,14.0,Card
289,10-Feb-2025,Tote Bag,Accessories,1,18.0,Cash
715,2025-02-12,Wooden Frame,Home,1,22.0,Cash
402,03/06/2025,Silk Scarf,Accessories,2,32.0,Card
134,04/11/2025,Wooden Frame,Home,3,22.0,Card
792,29-Mar-2025,Silk Scarf,Accessories,3,32.0,Cash
15,04-Mar-2025,Silk Scarf,Accessories,1,32.0,Cash
480,2025-02-08,Scented Candle,Home,2,14.0,Cash
834,04/21/2025,Notebook,Stationery,1,9.0,Cash
878,02/02/2025,Silk Scarf,Accessories,2,32.0,Card
310,13-Mar-2025,Ceramic Mug,Home,1,12.5,Cash
745,2025-01-23,Tote Bag,Accessories,2,18.0,Cash
600,2025-04-25,Greeting Card,Stationery,3,4.5,Cash
12,2025-01-28,Earrings,Accessories,1,26.0,Card
810,03/06/2025,Ceramic Mug,Home,2,12.5,Cash
718,02/09/2025,Earrings,Accessories,1,,Card
558,2025-01-26,Notebook,Stationery,-2,9.0,Card
206,04/02/2025,Silk Scarf,Accessories,1,32.0,Cash
538,2025-01-15,Tote Bag,Accessories,2,18.0,Card
475,03-Mar-2025,Scented Candle,Home,1,14.0,Mobile
846,28-Mar-2025,Greeting Card,Stationery,3,4.5,Card
391,04/21/2025,Tote Bag,Accessories,2,18.0,Card
110,2025-03-21,Ceramic Mug,Home,1,12.5,Card
508,19-Feb-2025,Greeting Card,Stationery,2,,Cash
451,07-Apr-2025,Silk Scarf,Accessories,1,32.0,Mobile
627,28-Feb-2025,Tote Bag,Accessories,1,18.0,Card
844,2025-02-14,Ceramic Mug,Home,1,12.5,Card
752,02/17/2025,Earrings,Accessories,1,26.0,Card
798,2025-03-16,Notebook,Stationery,1,9.0,Mobile
464,18-Mar-2025,Notebook,Stationery,3,9.0,Card
86,2025-04-08,Wooden Frame,Home,-3,22.0,Mobile
840,2025-03-11,Scented Candle,Home,2,14.0,Mobile
482,2025-02-04,Wooden Frame,Home,2,22.0,Mobile
283,2025-02-25,Greeting Card,Stationery,1,4.5,Mobile
768,02/16/2025,Scented Candle,Home,2,,Mobile
603,04/04/2025,Notebook,Stationery,1,9.0,Card
574,2025-01-10,Wooden Frame,Home,3,22.0,Mobile
532,09-Jan-2025,Notebook,Stationery,1,9.0,Mobile
513,2025-02-26,Tote Bag,Accessories,1,18.0,Card
551,03/09/2025,Scented Candle,Home,2,14.0,Card
826,04/04/2025,Earrings,Accessories,2,26.0,Cash
529,2025-01-21,Tote Bag,Accessories,2,18.0,Cash
321,31-Mar-2025,Silk Scarf,Accessories,1,32.0,Card
458,2025-01-12,Notebook,Stationery,2,9.0,Mobile
436,2025-04-22,Wooden Frame,Home,1,22.0,Card
277,29-Jan-2025,Ceramic Mug,Home,2,12.5,Cash
611,2025-03-20,Notebook,Stationery,1,9.0,Cash
196,11-Apr-2025,Earrings,Accessories,1,26.0,Mobile
737,2025-02-04,Silk Scarf,Accessories,1,32.0,Card
317,04/23/2025,Greeting Card,Stationery,1,4.5,Card
804,04-Apr-2025,Tote Bag,Accessories,2,18.0,Card
426,2025-03-10,Scented Candle,Home,1,14.0,Mobile
507,04/27/2025,Earrings,Accessories,1,26.0,Mobile
672,03/28/2025,Ceramic Mug,Home,1,12.5,Cash
309,02/19/2025,Greeting Card,Stationery,1,4.5,Mobile
46,2025-01-20,Greeting Card,Stationery,2,4.5,Card
504,02-Jan-2025,Silk Scarf,Accessories,2,32.0,Cash
351,22-Apr-2025,Ceramic Mug,Home,3,12.5,Mobile
393,03/24/2025,Wooden Frame,Home,1,22.0,Mobile
761,12-Jan-2025,Tote Bag,Accessories,1,18.0,Cash
241,04/02/2025,Scented Candle,Home,2,14.0,Mobile
828,2025-01-29,Wooden Frame,Home,1,22.0,Mobile
390,03/16/2025,Earrings,Accessories,1,26.0,Cash
361,01-Feb-2025,Silk Scarf,Accessories,1,32.0,Card
284,2025-01-27,Silk Scarf,Accessories,1,32.0,Mobile
103,01-Mar-2025,Wooden Frame,Home,1,22.0,Cash
488,02/20/2025,Notebook,Stationery,2,9.0,Mobile
637,2025-03-03,Notebook,Stationery,3,9.0,Card
680,31-Jan-2025,Silk Scarf,Accessories,1,32.0,Cash
435,11-Apr-2025,Ceramic Mug,Home,1,12.5,Cash
586,25-Feb-2025,Earrings,Accessories,2,26.0,Cash
182,02-Apr-2025,Wooden Frame,Home,3,22.0,Cash
511,24-Apr-2025,Scented Candle,Home,1,14.0,Cash
656,2025-03-06,Silk Scarf,Accessories,2,32.0,Cash
409,31-Jan-2025,Tote Bag,Accessories,1,18.0,Card
299,02/08/2025,Scented Candle,Home,2,14.0,Card
540,04/17/2025,Notebook,Stationery,1,9.0,Cash
609,02/28/2025,Scented Candle,Home,2,14.0,Mobile
629,2025-01-19,Earrings,Accessories,1,26.0,Cash
598,01/10/2025,Ceramic Mug,Home,3,12.5,Card
131,2025-01-01,Tote Bag,Accessories,1,18.0,Card
92,01/03/2025,Greeting Card,Stationery,1,4.5,Mobile
69,2025-01-11,,Accessories,1,32.0,Cash
88,03/12/2025,,Accessories,1,26.0,Mobile
250,02/25/2025,  TOTE BAG  ,Accessories,1,18.0,Mobile
315,01/06/2025,Wooden Frame,Home,3,22.0,Mobile
70,28-Apr-2025,Wooden Frame,Home,1,22.0,Cash
287,02/22/2025,Silk Scarf,Accessories,1,32.0,Cash
649,2025-02-23,Scented Candle,Home,1,14.0,Cash
126,10-Feb-2025,Scented Candle,Home,2,14.0,Mobile
163,2025-02-14,Greeting Card,Stationery,1,4.5,Mobile
376,2025-03-01,,Home,1,22.0,Card
113,2025-01-20,Silk Scarf,Accessories,1,32.0,Card
140,2025-03-10,Ceramic Mug,Home,1,12.5,Mobile
125,2025-01-14,Tote Bag,Accessories,1,18.0,Card
783,2025-04-02,Tote Bag,Accessories,1,18.0,Cash
